id,name,gender,birthday,created_at,updated_at
1,"The Rock",M,02-05-1972,"2026-01-29 11:52:59","2026-01-29 11:52:59"
2,"Stone Cold Steve Austin",M,18-12-1964,"2026-01-29 11:52:59","2026-01-29 11:52:59"
3,"Triple H",M,27-07-1969,"2026-01-29 11:52:59","2026-01-29 11:52:59"
4,"The Undertaker",M,24-03-1965,"2026-01-29 11:52:59","2026-01-29 11:52:59"
5,"Kurt Angle",M,09-12-1968,"2026-01-29 11:52:59","2026-01-29 11:52:59"
6,"Mick Foley",M,07-06-1965,"2026-01-29 11:52:59","2026-01-29 11:52:59"
7,Kane,M,26-04-1967,"2026-01-29 11:52:59","2026-01-29 11:52:59"
8,"Big Show",M,08-02-1972,"2026-01-29 11:52:59","2026-01-29 11:52:59"
9,"Chris Jericho",M,09-11-1970,"2026-01-29 11:52:59","2026-01-29 11:52:59"
10,"Chris Benoit",M,21-05-1967,"2026-01-29 11:52:59","2026-01-29 11:52:59"
11,"Eddie Guerrero",M,09-10-1967,"2026-01-29 11:52:59","2026-01-29 11:52:59"
12,Rikishi,M,11-10-1965,"2026-01-29 11:52:59","2026-01-29 11:52:59"
13,Edge,M,30-10-1973,"2026-01-29 11:52:59","2026-01-29 11:52:59"
14,Christian,M,30-11-1973,"2026-01-29 11:52:59","2026-01-29 11:52:59"
15,"William Regal",M,10-05-1968,"2026-01-29 11:52:59","2026-01-29 11:52:59"
16,Test,M,17-03-1975,"2026-01-29 11:52:59","2026-01-29 11:52:59"
17,"Booker T",M,01-03-1965,"2026-01-29 11:52:59","2026-01-29 11:52:59"
18,"Rob Van Dam",M,18-12-1970,"2026-01-29 11:52:59","2026-01-29 11:52:59"
20,Goldust,M,11-04-1969,"2026-01-29 11:52:59","2026-01-29 11:52:59"
21,"Matt Hardy",M,23-09-1974,"2026-01-29 11:52:59","2026-01-29 11:52:59"
22,"Jeff Hardy",M,31-08-1977,"2026-01-29 11:52:59","2026-01-29 11:52:59"
23,"Bubba Ray Dudley",M,14-07-1971,"2026-01-29 11:52:59","2026-01-29 11:52:59"
24,"D-Von Dudley",M,01-08-1972,"2026-01-29 11:52:59","2026-01-29 11:52:59"
25,Bradshaw,M,29-11-1966,"2026-01-29 11:52:59","2026-01-29 11:52:59"
26,Faarooq,M,15-05-1958,"2026-01-29 11:52:59","2026-01-29 11:52:59"
27,"Road Dogg",M,20-05-1969,"2026-01-29 11:52:59","2026-01-29 11:52:59"
28,"Billy Gunn",M,01-11-1963,"2026-01-29 11:52:59","2026-01-29 11:52:59"
29,X-Pac,M,13-07-1972,"2026-01-29 11:52:59","2026-01-29 11:52:59"
30,"Scotty 2 Hotty",M,02-07-1973,"2026-01-29 11:52:59","2026-01-29 11:52:59"
31,"Grandmaster Sexay",M,10-01-1972,"2026-01-29 11:52:59","2026-01-29 11:52:59"
32,"Chuck Palumbo",M,15-06-1971,"2026-01-29 11:52:59","2026-01-29 11:52:59"
33,"Sean O’Haire",M,25-02-1971,"2026-01-29 11:52:59","2026-01-29 11:52:59"
34,"The Hurricane",M,12-07-1974,"2026-01-29 11:52:59","2026-01-29 11:52:59"
35,"Hardcore Holly",M,29-01-1963,"2026-01-29 11:52:59","2026-01-29 11:52:59"
36,"Crash Holly",M,25-08-1971,"2026-01-29 11:52:59","2026-01-29 11:52:59"
37,"Al Snow",M,18-07-1963,"2026-01-29 11:52:59","2026-01-29 11:52:59"
40,"Steve Blackman",M,28-09-1963,"2026-01-29 11:52:59","2026-01-29 11:52:59"
41,"Val Venis",M,06-03-1971,"2026-01-29 11:52:59","2026-01-29 11:52:59"
42,Tazz,M,11-10-1967,"2026-01-29 11:52:59","2026-01-29 11:52:59"
43,Raven,M,08-09-1964,"2026-01-29 11:52:59","2026-01-29 11:52:59"
44,Rhyno,M,07-10-1975,"2026-01-29 11:52:59","2026-01-29 11:52:59"
45,Tajiri,M,29-09-1970,"2026-01-29 11:52:59","2026-01-29 11:52:59"
46,"Tommy Dreamer",M,13-02-1971,"2026-01-29 11:52:59","2026-01-29 11:52:59"
47,"Justin Credible",M,16-10-1973,"2026-01-29 11:52:59","2026-01-29 11:52:59"
48,"Lance Storm",M,03-04-1969,"2026-01-29 11:52:59","2026-01-29 11:52:59"
49,"Mike Awesome",M,24-01-1965,"2026-01-29 11:52:59","2026-01-29 11:52:59"
52,"Billy Kidman",M,29-05-1974,"2026-01-29 11:52:59","2026-01-29 11:52:59"
53,"Chavo Guerrero Jr.",M,20-10-1970,"2026-01-29 11:52:59","2026-01-29 11:52:59"
56,Sting,M,20-03-1959,"2026-01-29 11:52:59","2026-01-29 11:52:59"
58,"Ric Flair",M,25-02-1949,"2026-01-29 11:52:59","2026-01-29 11:52:59"
61,"Scott Hall",M,20-10-1958,"2026-01-29 11:52:59","2026-01-29 11:52:59"
62,"Scott Steiner",M,29-07-1962,"2026-01-29 11:52:59","2026-01-29 11:52:59"
63,"Rey Mysterio",M,11-12-1974,"2026-01-29 11:52:59","2026-01-29 11:52:59"
64,"Juventud Guerrera",M,23-11-1974,"2026-01-29 11:52:59","2026-01-29 11:52:59"
65,Psicosis,M,22-09-1971,"2026-01-29 11:52:59","2026-01-29 11:52:59"
66,"L.A. Park",M,14-11-1965,"2026-01-29 11:52:59","2026-01-29 11:52:59"
67,Konnan,M,06-01-1964,"2026-01-29 11:52:59","2026-01-29 11:52:59"
68,Sabu,M,12-12-1964,"2026-01-29 11:52:59","2026-01-29 11:52:59"
69,"The Sandman",M,09-06-1963,"2026-01-29 11:52:59","2026-01-29 11:52:59"
71,"Super Crazy",M,03-12-1973,"2026-01-29 11:52:59","2026-01-29 11:52:59"
72,"Kid Kash",M,31-07-1969,"2026-01-29 11:52:59","2026-01-29 11:52:59"
73,"Little Guido",M,12-03-1972,"2026-01-29 11:52:59","2026-01-29 11:52:59"
74,"Steve Corino",M,29-05-1973,"2026-01-29 11:52:59","2026-01-29 11:52:59"
75,"AJ Styles",M,02-06-1977,"2026-01-29 11:52:59","2026-01-29 11:52:59"
76,"Christopher Daniels",M,24-03-1970,"2026-01-29 11:52:59","2026-01-29 11:52:59"
77,"Samoa Joe",M,17-03-1979,"2026-01-29 11:52:59","2026-01-29 11:52:59"
78,"Low Ki",M,06-09-1979,"2026-01-29 11:52:59","2026-01-29 11:52:59"
79,"Jushin Thunder Liger",M,30-11-1964,"2026-01-29 11:52:59","2026-01-29 11:52:59"
82,Vampiro,M,31-10-1967,"2026-01-29 11:52:59","2026-01-29 11:52:59"
84,"Buff Bagwell",M,10-01-1970,"2026-01-29 11:52:59","2026-01-29 11:52:59"
85,Lita,F,14-04-1975,"2026-01-29 11:52:59","2026-01-29 11:52:59"
86,"Trish Stratus",F,18-12-1975,"2026-01-29 11:52:59","2026-01-29 11:52:59"
87,Chyna,F,27-12-1969,"2026-01-29 11:52:59","2026-01-29 11:52:59"
88,Ivory,F,26-11-1961,"2026-01-29 11:52:59","2026-01-29 11:52:59"
89,"Stephanie McMahon",F,24-09-1976,"2026-01-29 11:52:59","2026-01-29 11:52:59"
91,Tori,F,20-03-1965,"2026-01-29 11:52:59","2026-01-29 11:52:59"
92,"Molly Holly",F,07-09-1977,"2026-01-29 11:52:59","2026-01-29 11:52:59"
93,"Torrie Wilson",F,24-07-1975,"2026-01-29 11:52:59","2026-01-29 11:52:59"
94,"Stacy Keibler",F,14-10-1979,"2026-01-29 11:52:59","2026-01-29 11:52:59"
95,"Vince McMahon",M,24-08-1945,"2026-01-29 11:52:59","2026-01-29 11:52:59"
96,"Shane McMahon",M,15-01-1970,"2026-01-29 11:52:59","2026-01-29 11:52:59"
97,"Jerry Lawler",M,29-11-1949,"2026-01-29 11:52:59","2026-01-29 11:52:59"
98,"Jim Ross",M,03-01-1952,"2026-01-29 11:52:59","2026-01-29 11:52:59"
99,A-Train,M,,"2026-01-29 13:33:04","2026-01-29 13:33:04"
100,Akio,M,,"2026-01-29 13:34:16","2026-01-29 13:34:16"
101,Batista,M,,"2026-01-29 13:38:43","2026-01-29 13:38:43"
102,"Charlie Haas",M,,"2026-01-29 13:44:08","2026-01-29 13:44:08"
103,"Chavo Guerrero",M,,"2026-01-29 13:44:28","2026-01-29 13:44:28"
104,"Danny Basham",M,,"2026-01-29 13:48:13","2026-01-29 13:48:13"
105,"Dawn Marie",F,,"2026-01-29 13:48:31","2026-01-29 13:48:31"
106,"Doug Basham",M,,"2026-01-29 13:48:56","2026-01-29 13:48:56"
107,Funaki,M,,"2026-01-29 13:50:31","2026-01-29 13:50:31"
108,"Gail Kim",F,,"2026-01-29 13:51:50","2026-01-29 13:51:50"
109,"Garrison Cade",M,,"2026-01-29 13:52:27","2026-01-29 13:52:27"
110,"Jamie Noble",M,,"2026-01-29 13:54:44","2026-01-29 13:54:44"
111,Jazz,F,,"2026-01-29 13:55:13","2026-01-29 13:55:13"
112,"John Cena",M,,"2026-01-29 13:57:23","2026-01-29 13:57:23"
113,"Johnny Nitro",M,,"2026-01-29 13:57:53","2026-01-29 13:57:53"
114,"Jon Heidenreich",M,,"2026-01-29 13:58:32","2026-01-29 13:58:32"
115,"Mark Henry",M,,"2026-01-29 14:01:13","2026-01-29 14:01:13"
116,"Mark Jindrak",M,,"2026-01-29 14:01:31","2026-01-29 14:01:31"
117,Maven,M,,"2026-01-29 14:03:58","2026-01-29 14:03:58"
118,"Orlando Jordan",M,,"2026-01-29 14:07:51","2026-01-29 14:07:51"
119,"Randy Orton",M,,"2026-01-29 14:08:25","2026-01-29 14:08:25"
120,"Rene Dupree",M,,"2026-01-29 14:08:47","2026-01-29 14:08:47"
121,Rico,M,,"2026-01-29 14:10:01","2026-01-29 14:10:01"
122,"Shannon Moore",M,,"2026-01-29 14:11:42","2026-01-29 14:11:42"
123,"Shelton Benjamin",M,,"2026-01-29 14:12:02","2026-01-29 14:12:02"
124,"Spike Dudley",M,,"2026-01-29 14:12:24","2026-01-29 14:12:24"
125,"Steven Richards",M,,"2026-01-29 14:12:51","2026-01-29 14:12:51"
126,Victoria,F,,"2026-01-29 14:18:49","2026-01-29 14:18:49"
